Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,NUMPOINTS
"74",?????,Inner Changning,"95779",64647.375000000007276,55614.412279999996827,24482.787280000000464,0.010000000000000,"1",HH,64647.375000000007276,20900.476969999999710,1
"75",?????,Inner Xuhui,"64164",85245.000000000000000,23999.412280000000464,45080.412279999996827,0.001000000000000,"1",HH,85245.000000000000000,41498.101970000003348,4
"76",????,Nanpu,"96256",57033.624999999992724,56091.412279999996827,16869.037280000000464,0.051000000000000,"0",Non-Significant,57033.624999999992724,13286.726969999999710,0
"77",????,Nanxiang,"24171",33092.500000000000000,-15993.587719999999536,-7072.087719000000106,0.278000000000000,"0",Non-Significant,33092.500000000000000,-10654.398030000000290,4
"78",???????,Pengpu,"55853",38806.624999999992724,15688.412280000000464,-1357.962719000000106,0.500000000000000,"0",Non-Significant,38806.624999999992724,-4940.273025999999845,5
"79",?????,Pujiang,"23027",35587.375000000000000,-17137.587719999999536,-4577.212719000000106,0.363000000000000,"0",Non-Significant,35587.375000000000000,-8159.523025999999845,4
"80",????,Qibao,"35465",37771.124999999992724,-4699.587719000000106,-2393.462719000000106,0.454000000000000,"0",Non-Significant,37771.124999999992724,-5975.773025999999845,5
"81",????,Qilian,"35255",44920.750000000000000,-4909.587719000000106,4756.162280999999894,0.296000000000000,"0",Non-Significant,44920.750000000000000,1173.851973999999927,1
"82",?????,Qingpu,"22289",24929.125000000000000,-17875.587719999999536,-15235.462719999999536,0.064000000000000,"0",Non-Significant,24929.125000000000000,-18817.773030000000290,6
"83",????,Quyang,"0",76874.249999999985448,-40164.587720000003173,36709.662279999996827,0.002000000000000,"1",LH,76874.249999999985448,33127.351970000003348,2
"84",??????,South Shanghai  Station,"20525",62065.624999999992724,-19639.587719999999536,21901.037280000000464,0.021000000000000,"1",LH,62065.624999999992724,18318.726969999999710,1
"85",????,Sheshan,"17172",27966.125000000000000,-22992.587719999999536,-12198.462719999999536,0.127000000000000,"0",Non-Significant,27966.125000000000000,-15780.773030000000290,7
"86",??????????,North Sichuan Road,"86301",63492.124999999992724,46136.412279999996827,23327.537280000000464,0.015000000000000,"1",HH,63492.124999999992724,19745.226969999999710,2
"87",?????,North Waitan,"123361",65514.875000000007276,83196.412280000004102,25350.287280000000464,0.006000000000000,"1",HH,65514.875000000007276,21767.976969999999710,1
"88",????,Sijing,"16922",28745.750000000000000,-23242.587719999999536,-11418.837719999999536,0.139000000000000,"0",Non-Significant,28745.750000000000000,-15001.148030000000290,2
"89",??????,Songjiang New area,"20850",20595.875000000000000,-19314.587719999999536,-19568.712719999999536,0.023000000000000,"1",LL,20595.875000000000000,-23151.023030000000290,34
"90",????,Songnan,"32601",47763.875000000007276,-7563.587719000000106,7599.287280999999894,0.224000000000000,"0",Non-Significant,47763.875000000007276,4016.976974000000155,3
"91",????,Tianshan,"39876",64474.000000000000000,-288.587719300000003,24309.412280000000464,0.009000000000000,"1",LH,64474.000000000000000,20727.101969999999710,2
"92",????,Xicheng,"34159",44091.875000000007276,-6005.587719000000106,3927.287280999999894,0.315000000000000,"0",Non-Significant,44091.875000000007276,344.976973699999974,3
"93",????,Xinzhuang,"31548",38648.875000000007276,-8616.587718999999197,-1515.712719000000106,0.483000000000000,"0",Non-Significant,38648.875000000007276,-5098.023025999999845,3
"94",????,Xinchang,"27884",19858.625000000000000,-12280.587719999999536,-20305.962719999999536,0.019000000000000,"1",LL,19858.625000000000000,-23888.273030000000290,3
"95",????,Hangtou,"14936",32583.625000000000000,-25228.587719999999536,-7580.962719000000106,0.254000000000000,"0",Non-Significant,32583.625000000000000,-11163.273030000000290,5
"96",??????,Xinjiangwan,"72544",45575.624999999992724,32379.412280000000464,5411.037280999999894,0.269000000000000,"0",Non-Significant,45575.624999999992724,1828.726973999999927,2
"97",?????,Wujiaochang,"23285",57958.000000000000000,-16879.587719999999536,17793.412280000000464,0.050000000000000,"0",Non-Significant,57958.000000000000000,14211.101969999999710,2
"98",????,Xinqiao,"9106",31330.750000000000000,-31058.587719999999536,-8833.837718999999197,0.217000000000000,"0",Non-Significant,31330.750000000000000,-12416.148030000000290,3
"99",??????,Yuanshen,"89677",76991.249999999985448,49512.412279999996827,36826.662279999996827,0.001000000000000,"1",HH,76991.249999999985448,33244.351970000003348,2
"100",????,Yuepu,"2881",40326.375000000007276,-37283.587720000003173,161.787280699999997,0.473000000000000,"0",Non-Significant,40326.375000000007276,-3420.523025999999845,2
"101",????,Zhangjiang,"23979",54193.124999999992724,-16185.587719999999536,14028.537280000000464,0.087000000000000,"0",Non-Significant,54193.124999999992724,10446.226969999999710,13
"102",????,Zhaoxiang,"32568",24921.250000000000000,-7596.587719000000106,-15243.337719999999536,0.063000000000000,"0",Non-Significant,24921.250000000000000,-18825.648030000000290,1
"103",????,Xujing,"50717",29398.750000000000000,10552.412280000000464,-10765.837719999999536,0.161000000000000,"0",Non-Significant,29398.750000000000000,-14348.148030000000290,1
"104",????,Zhelin,"8436",17937.750000000000000,-31728.587719999999536,-22226.837719999999536,0.006000000000000,"1",LL,17937.750000000000000,-25809.148030000000290,0
"105",????,Haiwan,"21537",20287.375000000000000,-18627.587719999999536,-19877.212719999999536,0.020000000000000,"1",LL,20287.375000000000000,-23459.523030000000290,4
"106",???????,Zhenru,"65744",58778.624999999992724,25579.412280000000464,18614.037280000000464,0.034000000000000,"1",HH,58778.624999999992724,15031.726969999999710,1
"107",????,Wanli,"51920",53713.875000000007276,11755.412280000000464,13549.287280000000464,0.091000000000000,"0",Non-Significant,53713.875000000007276,9966.976973999999245,3
"109",????,Yichuan,"42973",67946.500000000000000,2808.412280999999894,27781.912280000000464,0.005000000000000,"1",HH,67946.500000000000000,24199.601969999999710,2
"110",????,Zhongyuan,"47907",48167.750000000000000,7742.412280999999894,8003.162280999999894,0.221000000000000,"0",Non-Significant,48167.750000000000000,4420.851974000000155,2
"111",????,Zhoukang,"39584",26736.250000000000000,-580.587719300000003,-13428.337719999999536,0.094000000000000,"0",Non-Significant,26736.250000000000000,-17010.648030000000290,8
"112",?????,Zhujiajiao,"33571",20311.625000000000000,-6593.587719000000106,-19852.962719999999536,0.017000000000000,"1",LL,20311.625000000000000,-23435.273030000000290,3
"113",????,Zhuqiao,"23715",21607.625000000000000,-16449.587719999999536,-18556.962719999999536,0.024000000000000,"1",LL,21607.625000000000000,-22139.273030000000290,6
